"success_rate","is_txn_conflicted","card_issuer_country","priority_logic_tag","udf6","txn_latency_enum","payment_method_type"
12,"RESOLVED","INDIA",NA,NA,"6M-7M","CARD"
0,"RESOLVED",NA,"TATA PA test",NA,"1H-1D","WALLET"
0,"MATCH",NA,"Test - Jo",NA,"1H-1D","NB"
0,"MATCH","INDIA",NA,"udf6","2M-3M","CARD"
0,"RESOLVED","PHILIPPINES","Volume-Based Routing-copy-2",NA,"3M-4M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","looww20sne6t","0M-1M","NB"
100,"RESOLVED",NA,"Cahsfree Testing","j9ti5ktop4op","0M-1M","NB"
0,NA,"INDIA",NA,"udf6","1M-2M","CARD"
0,NA,NA,NA,"AX1326","0M-1M","NB"
10.34,"RESOLVED","UNITED STATES OF AMERICA","Test - Jo",NA,"5M-6M","CARD"
0,"RESOLVED",NA,NA,"a74c46b9-0627-426d-9","1M-2M","NB"
46.83,"RESOLVED",NA,"Test - Jo",NA,"2M-3M","UPI"
0,"RESOLVED",NA,"Test - Jo","udf6","4M-5M","WALLET"
0,"RESOLVED","UKRAINE",NA,"2000000.0","3M-4M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","j14dlux87s39","0M-1M","UPI"
0,"MATCH",NA,NA,"mk4742i-a","0M-1M","WALLET"
0,NA,"United Arab Emirates",NA,"00D1e0000000MxJEAU","0M-1M","CARD"
100,"RESOLVED",NA,"Tata PA - 25% TN and 5% of other cards","BPPTN0878147826368753664","0M-1M","NB"
100,"RESOLVED","INDIA",NA,"d2adbd3c-c224-40f6-9a10-1f5a0414","0M-1M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","mfbzarqe4bg0","0M-1M","NB"
100,"CONFLICTED",NA,"Test - Jo",NA,"2M-3M","NB"
100,"RESOLVED",NA,"Cahsfree Testing","wxk5x32pfhkq","0M-1M","NB"
100,"RESOLVED","INDIA","Pinelabls_testing","1930865769","0M-1M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","r4tqunusxknx, r4tqunusxknx","0M-1M","NB"
100,"RESOLVED",NA,NA,"V2ViQXBwLUVhdFN1cmU=_10022703_hT","0M-1M","NB"
100,"RESOLVED",NA,NA,"3a15c897-717b-43a6-b02d-99ae8cfb","0M-1M","NB"
100,"CONFLICTED",NA,NA,NA,"10M-1H","CONSUMER_FINANCE"
0,NA,NA,"testing route","WAP","0M-1M","NB"
100,"RESOLVED",NA,NA,"4f043740-add1-417b-8e02-8ebfcdb5","0M-1M","NB"
0,"RESOLVED","UNITED STATES OF AMERICA","TPSL PAYTM",NA,"3M-4M","CARD"
100,"CONFLICTED",NA,NA,"1","10M-1H","CONSUMER_FINANCE"
